,meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0,0.0597809849598081,0.0642412677031359,0.032026913372582,0.0150714886459209,0.0901934398654331,0.0751219512195122,12.8634618371626,274.402905502067,0.893369416700807,0.491917766397811,0,0.0597809849598081,0.084279106440321,0.0157016683022571,0.275862068965517,0.0078125,0.0078125,0.0078125,0,0,male
20,0.172754287202847,0.0769025830140396,0.177736289381564,0.120070011668611,0.24536756126021,0.125297549591599,2.96776509333623,20.0781146980326,0.925539326979812,0.523081122573219,0.059953325554259,0.172754287202847,0.0935735125050573,0.0157635467980296,0.2,0.235877403846154,0.0078125,0.71875,0.7109375,0.235069278547539,male
40,0.171400807336282,0.0684281385770345,0.145321955003879,0.131202482544608,0.24611326609775,0.114910783553142,2.9304399719962,13.7261348171167,0.893569584640594,0.42425444839283,0.137067494181536,0.171400807336282,0.141183374968156,0.0158415841584158,0.262295081967213,0.313657407407407,0.0078125,0.6953125,0.6875,0.273221343873518,male
60,0.12508754695446,0.0801166950891679,0.114191121143717,0.057306245297216,0.201414597441685,0.14410835214447,2.37738965557555,10.5507201690624,0.948495928287016,0.670633007622952,0.111873589164786,0.12508754695446,0.114742725576693,0.024390243902439,0.271186440677966,0.560032894736842,0.0078125,4.296875,4.2890625,0.226674762193888,male
80,0.184850896798643,0.0624467269899979,0.189809402795426,0.133773824650572,0.238551461245235,0.104777636594663,1.66106084563213,10.8941078623779,0.934323373598972,0.467826477895353,0,0.184850896798643,0.139378257554087,0.0250783699059561,0.275862068965517,1.7525,0.078125,6.7265625,6.6484375,0.349767536913095,male
100,0.119976655984898,0.0814706483757461,0.10989247311828,0.0602150537634409,0.192688172043011,0.13247311827957,22.4008659515681,560.122789276745,0.854878206272153,0.505371008993446,0,0.119976655984898,0.0812011733623509,0.0157946692991115,0.262295081967213,0.0078125,0.0078125,0.0078125,0,0,male
120,0.164801331547495,0.0705586179864006,0.175711060948081,0.0954401805869074,0.226907449209932,0.131467268623025,18.8496032174265,459.517292194584,0.920293747487634,0.525147427249035,0.0600451467268623,0.164801331547495,0.0860937765343267,0.0163432073544433,0.271186440677966,0.0703125,0.0703125,0.0703125,0,0,male
140,0.113315912996052,0.0778882144353908,0.104962243797195,0.04319309600863,0.181531823085221,0.138338727076591,1.39877551714029,5.02412863188488,0.965298571530438,0.738214716709712,0.00407766990291262,0.113315912996052,0.0998460070808435,0.0192771084337349,0.235294117647059,0.328354779411765,0.0078125,4.5703125,4.5625,0.126933274414494,male
160,0.163180093857141,0.0680445443700644,0.177170542635659,0.0999806201550388,0.21718992248062,0.117209302325581,21.5797049582085,598.392640342213,0.926462223185514,0.534101516557971,0.0600968992248062,0.163180093857141,0.0717911154791343,0.0163766632548618,0.258064516129032,0.0904605263157895,0.0703125,0.6953125,0.625,0.0549107142857143,male
180,0.13729500881056,0.0652833492174039,0.112982456140351,0.0864197530864197,0.190669265756985,0.104249512670565,2.91601408065064,13.827785020921,0.933476838450819,0.57229133916005,0.0835087719298246,0.13729500881056,0.108234304205697,0.0396039603960396,0.271186440677966,0.663802083333333,0.078125,4.65625,4.578125,0.180593150523714,male
200,0.145027257360602,0.0802440267257515,0.158185208203853,0.0803977625854568,0.20969546302051,0.129297700435053,1.46229742741104,5.37188805447278,0.970477511499434,0.787403399972076,0.021230577998757,0.145027257360602,0.0934669637191,0.016016016016016,0.275862068965517,1.2483428030303,0.0078125,6.3203125,6.3125,0.291999361226445,male
220,0.163194494452727,0.0674509393139967,0.188192032686415,0.102962206332993,0.212502553626149,0.109540347293156,2.27888238312129,9.28799550820564,0.927514705944581,0.554522453904195,0.211930541368744,0.163194494452727,0.10315571749483,0.0321931589537223,0.25,0.409855769230769,0.0078125,0.5859375,0.578125,0.264127764127764,male
240,0.122217801281866,0.0796971275764768,0.110030321406913,0.0563735597331716,0.205967252880534,0.149593693147362,2.58715718503796,16.4972115617598,0.963365049920826,0.745817969369534,0,0.122217801281866,0.124953944554641,0.017877094972067,0.275862068965517,0.10009765625,0.0078125,0.359375,0.3515625,0.198467432950192,male
