,meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0,0.0597809849598081,0.0642412677031359,0.032026913372582,0.0150714886459209,0.0901934398654331,0.0751219512195122,12.8634618371626,274.402905502067,0.893369416700807,0.491917766397811,0,0.0597809849598081,0.084279106440321,0.0157016683022571,0.275862068965517,0.0078125,0.0078125,0.0078125,0,0,male
10,0.157020511056795,0.0719429306811688,0.168160152526215,0.101429933269781,0.2167397521449,0.115309818875119,0.97944227542161,3.97422262552131,0.96524913928741,0.733692877928757,0.0963584366062917,0.157020511056795,0.0888939829948002,0.0220689655172414,0.117647058823529,0.460227272727273,0.0078125,2.8125,2.8046875,0.2,male
20,0.172754287202847,0.0769025830140396,0.177736289381564,0.120070011668611,0.24536756126021,0.125297549591599,2.96776509333623,20.0781146980326,0.925539326979812,0.523081122573219,0.059953325554259,0.172754287202847,0.0935735125050573,0.0157635467980296,0.2,0.235877403846154,0.0078125,0.71875,0.7109375,0.235069278547539,male
30,0.153039047583376,0.0740311299735897,0.158064516129032,0.0927311827956989,0.214365591397849,0.121634408602151,0.885701647564837,3.52398185555844,0.973217841619629,0.807551708402321,0.216774193548387,0.153039047583376,0.067407498731641,0.016260162601626,0.205128205128205,0.2615625,0.0078125,1.0234375,1.015625,0.191346153846154,male
40,0.171400807336282,0.0684281385770345,0.145321955003879,0.131202482544608,0.24611326609775,0.114910783553142,2.9304399719962,13.7261348171167,0.893569584640594,0.42425444839283,0.137067494181536,0.171400807336282,0.141183374968156,0.0158415841584158,0.262295081967213,0.313657407407407,0.0078125,0.6953125,0.6875,0.273221343873518,male
50,0.142715585277193,0.0741635911070786,0.127850098619329,0.0889151873767258,0.206272189349112,0.117357001972387,1.55226944031081,7.23018794624159,0.96668487246705,0.753187641555649,0.0601972386587771,0.142715585277193,0.0988725568207706,0.0187353629976581,0.207792207792208,0.853298611111111,0.0078125,4.6640625,4.65625,0.212988551125148,male
60,0.12508754695446,0.0801166950891679,0.114191121143717,0.057306245297216,0.201414597441685,0.14410835214447,2.37738965557555,10.5507201690624,0.948495928287016,0.670633007622952,0.111873589164786,0.12508754695446,0.114742725576693,0.024390243902439,0.271186440677966,0.560032894736842,0.0078125,4.296875,4.2890625,0.226674762193888,male
70,0.167761537790356,0.0588833701350998,0.159934029686641,0.125607476635514,0.20087960417812,0.0752721275426058,2.5315003959173,11.509485432073,0.923640118952189,0.485117754269874,0.126838922484882,0.167761537790356,0.1320890637034,0.018539976825029,0.253968253968254,1.04851973684211,0.0078125,6.84375,6.8359375,0.0583736263736264,male
80,0.184850896798643,0.0624467269899979,0.189809402795426,0.133773824650572,0.238551461245235,0.104777636594663,1.66106084563213,10.8941078623779,0.934323373598972,0.467826477895353,0,0.184850896798643,0.139378257554087,0.0250783699059561,0.275862068965517,1.7525,0.078125,6.7265625,6.6484375,0.349767536913095,male
90,0.198295355925475,0.0545543031690734,0.214516129032258,0.155806451612903,0.236891495601173,0.0810850439882698,3.84495938613814,33.6801134379106,0.903755352102731,0.271601074109667,0.0901173020527859,0.198295355925475,0.112022748363408,0.0176795580110497,0.275862068965517,0.277018229166667,0.0078125,2.0703125,2.0625,0.0929924242424243,male
